"id","name","value","category"
55,"Person 55",10.1804834138602,"C"
56,"Person 56",58.1827389267273,"C"
57,"Person 57",71.6552980488632,"A"
58,"Person 58",8.53204627195373,"B"
59,"Person 59",47.5010229030158,"B"
60,"Person 60",6.19735277723521,"A"
61,"Person 61",50.781692042714,"A"
62,"Person 62",86.781136037549,"C"
63,"Person 63",56.2266877719667,"B"
64,"Person 64",53.8370239876676,"B"
65,"Person 65",38.2735369508155,"C"
66,"Person 66",51.0096648933832,"C"
67,"Person 67",1.50923251709901,"C"
68,"Person 68",2.93079595873132,"A"
69,"Person 69",58.7512524267659,"C"
70,"Person 70",51.357040628558,"B"
71,"Person 71",97.4339198227972,"B"
72,"Person 72",49.6359573327936,"A"
73,"Person 73",96.305376622593,"C"
74,"Person 74",59.4641396827064,"C"
75,"Person 75",20.8589274338447,"C"
76,"Person 76",33.2602376390714,"A"
77,"Person 77",34.8952847158071,"A"
78,"Person 78",37.5393247250468,"B"
79,"Person 79",32.4511885191314,"C"
80,"Person 80",1.41573051176965,"A"
81,"Person 81",77.4838260177057,"A"
82,"Person 82",50.959501407342,"B"
83,"Person 83",86.8408237188123,"B"
84,"Person 84",14.604670453351,"B"
85,"Person 85",37.7875044248067,"A"
86,"Person 86",52.2653605127707,"C"
87,"Person 87",22.8590026218444,"B"
88,"Person 88",34.295205442002,"A"
89,"Person 89",74.9891433401499,"B"
90,"Person 90",44.6261555713136,"C"
91,"Person 91",29.6935426900163,"C"
92,"Person 92",5.97501918929629,"A"
93,"Person 93",11.790349308867,"C"
94,"Person 94",91.2685850197449,"A"
95,"Person 95",68.6226856359281,"C"
96,"Person 96",1.87634909478948,"A"
97,"Person 97",1.87234725151211,"B"
98,"Person 98",45.0657780191395,"C"
99,"Person 99",89.3001464158297,"B"
100,"Person 100",25.933946051402,"B"
101,"Person 101",55.5296517699026,"A"
102,"Person 102",42.8082955696154,"C"
103,"Person 103",13.2807122583035,"C"
104,"Person 104",13.042168017244,"C"
105,"Person 105",70.9134466529358,"B"
106,"Person 106",85.7588833428454,"B"
107,"Person 107",41.2508422641549,"C"
108,"Person 108",30.2487727091648,"A"
109,"Person 109",5.37721333699301,"A"
110,"Person 110",57.1378824582789,"C"
111,"Person 111",81.0775710153393,"C"
112,"Person 112",70.864142203005,"B"
113,"Person 113",55.1881066143978,"A"
114,"Person 114",75.7741690455005,"C"
115,"Person 115",31.3101225418504,"B"
116,"Person 116",94.9586944007315,"C"
117,"Person 117",76.037807499757,"A"
118,"Person 118",66.6072086736094,"B"
119,"Person 119",70.9191357272211,"A"
120,"Person 120",43.9787176100072,"C"
121,"Person 121",67.9104283659253,"B"
122,"Person 122",42.3949113872368,"B"
123,"Person 123",37.0538277481683,"C"
124,"Person 124",12.6375772685278,"A"
125,"Person 125",91.2693748590536,"A"
126,"Person 126",58.2094330335967,"C"
127,"Person 127",81.6977294860408,"A"
128,"Person 128",39.2530551115051,"C"
129,"Person 129",51.9872475489974,"C"
130,"Person 130",20.7845680944156,"B"
131,"Person 131",90.4653777510393,"A"
132,"Person 132",28.2697172828484,"A"
133,"Person 133",72.3230391400866,"A"
134,"Person 134",92.6453753416426,"C"
135,"Person 135",51.8320717390161,"A"
136,"Person 136",68.4026223346591,"C"
137,"Person 137",30.3310533536132,"B"
138,"Person 138",68.849347665906,"B"
139,"Person 139",64.5504058462102,"C"
140,"Person 140",78.7439423953183,"C"
141,"Person 141",20.5876224949025,"A"
142,"Person 142",31.7296500033699,"C"
143,"Person 143",97.6077577474061,"C"
144,"Person 144",15.4570582308806,"B"
145,"Person 145",75.5412290308159,"C"
146,"Person 146",59.6829209991265,"C"
147,"Person 147",23.0665972910356,"A"
148,"Person 148",46.0751013075933,"C"
149,"Person 149",73.8413590956479,"C"
150,"Person 150",8.74214825336821,"A"
151,"Person 151",42.9710613375064,"B"
152,"Person 152",97.2238422054797,"B"
153,"Person 153",64.375974977389,"A"
154,"Person 154",26.9983665901236,"C"
155,"Person 155",56.8658196507022,"C"
156,"Person 156",36.8376862828154,"C"
157,"Person 157",11.8417958170176,"A"
158,"Person 158",43.9596586395055,"C"
159,"Person 159",68.2192295580171,"A"
160,"Person 160",38.7171895476058,"B"
161,"Person 161",74.0420807844494,"A"
162,"Person 162",50.9104649624787,"C"
163,"Person 163",85.7535396532621,"C"
164,"Person 164",38.5374829412904,"A"
165,"Person 165",30.1273919302039,"A"
166,"Person 166",90.8691518069245,"A"
167,"Person 167",75.7854704598431,"B"
168,"Person 168",60.7474310419057,"C"
169,"Person 169",27.6251755834091,"A"
170,"Person 170",3.73301075352356,"B"
171,"Person 171",39.7352108417545,"C"
172,"Person 172",68.4937778953463,"A"
173,"Person 173",54.9768559937365,"A"
174,"Person 174",54.6742337164469,"C"
175,"Person 175",67.9807814364322,"A"
176,"Person 176",5.42005904228427,"A"
177,"Person 177",82.5459159666207,"C"
178,"Person 178",81.4542893983889,"A"
179,"Person 179",56.4093930292875,"B"
180,"Person 180",13.2433712023776,"B"
181,"Person 181",3.9675691020675,"C"
182,"Person 182",70.8278630713467,"B"
183,"Person 183",90.4482499291189,"C"
184,"Person 184",31.2242113703396,"C"
185,"Person 185",16.535878227558,"C"
186,"Person 186",93.621417227434,"B"
187,"Person 187",23.3996151278261,"A"
188,"Person 188",24.9966074211989,"A"
189,"Person 189",93.2821796308272,"A"
190,"Person 190",99.4384978739545,"A"
191,"Person 191",48.2558822373394,"B"
192,"Person 192",47.3818629910238,"B"
193,"Person 193",21.5450635335874,"C"
194,"Person 194",57.2526023420505,"A"
195,"Person 195",99.3177450986113,"C"
196,"Person 196",42.0926346790511,"C"
197,"Person 197",74.8768953634426,"B"
198,"Person 198",38.1179225409869,"C"
199,"Person 199",66.5403991385829,"C"
200,"Person 200",3.97751147462986,"A"
201,"Person 201",46.8902602838352,"B"
202,"Person 202",42.1959829835687,"B"
203,"Person 203",27.1906264459249,"A"
204,"Person 204",16.7461626746226,"A"
205,"Person 205",34.3599481317215,"A"
206,"Person 206",94.0297464244068,"A"
207,"Person 207",48.5889677496161,"C"
208,"Person 208",92.5822413507849,"B"
209,"Person 209",62.6783848255873,"C"
210,"Person 210",4.22166164778173,"A"
211,"Person 211",75.001329353312,"B"
212,"Person 212",11.6363113967236,"B"
213,"Person 213",97.5640258989297,"C"
214,"Person 214",14.3786227812525,"A"
215,"Person 215",85.4996611981187,"C"
216,"Person 216",75.4996099206619,"C"
217,"Person 217",32.0266094144899,"C"
218,"Person 218",74.1827777745202,"A"
219,"Person 219",15.3075430742465,"C"
220,"Person 220",84.0099523221143,"A"
221,"Person 221",59.0566264640074,"A"
222,"Person 222",77.4343557443935,"C"
223,"Person 223",71.3138206379954,"B"
224,"Person 224",22.2288559777662,"C"
225,"Person 225",47.887932601152,"A"
226,"Person 226",16.4462868787814,"B"
227,"Person 227",83.524372825399,"B"
228,"Person 228",48.6009055117611,"C"
229,"Person 229",76.9372813957743,"B"
230,"Person 230",19.6383464022074,"B"
231,"Person 231",72.145047955215,"A"
232,"Person 232",45.6901612749789,"C"
233,"Person 233",8.11094178259373,"A"
234,"Person 234",59.3045692073647,"A"
235,"Person 235",35.4505281501915,"A"
236,"Person 236",67.1148194223642,"C"
237,"Person 237",49.562133749947,"A"
238,"Person 238",82.5758124885615,"C"
239,"Person 239",72.2554544257,"A"
240,"Person 240",42.790387935238,"C"
241,"Person 241",30.9425935954787,"C"
242,"Person 242",27.3931703248527,"A"
243,"Person 243",43.6786634745076,"C"
244,"Person 244",25.1755326015409,"C"
245,"Person 245",44.4895829826128,"C"
246,"Person 246",81.3270777170546,"C"
247,"Person 247",65.1234833616763,"C"
248,"Person 248",83.7088748714887,"B"
249,"Person 249",94.9789591059089,"B"
250,"Person 250",88.7229371690191,"C"
251,"Person 251",70.4578216033988,"B"
252,"Person 252",13.6554545448162,"C"
253,"Person 253",90.7904504027683,"C"
254,"Person 254",64.6615170314908,"B"
255,"Person 255",63.3985929279588,"C"
256,"Person 256",43.0485439836048,"B"
257,"Person 257",35.4834797731601,"B"
258,"Person 258",19.1139522250742,"A"
259,"Person 259",61.0140732873697,"C"
260,"Person 260",45.0301670676563,"C"
261,"Person 261",93.5667716003954,"A"
262,"Person 262",80.79542675009,"C"
263,"Person 263",37.1292733529117,"B"
264,"Person 264",19.6744263798464,"B"
265,"Person 265",44.5000800590497,"A"
266,"Person 266",54.434122820152,"A"
267,"Person 267",30.6145086931065,"C"
268,"Person 268",85.3822707834188,"C"
269,"Person 269",58.5615668902174,"C"
270,"Person 270",8.87670673569664,"A"
271,"Person 271",13.8664149169344,"A"
272,"Person 272",48.1025411337614,"B"
273,"Person 273",97.7320539660286,"C"
274,"Person 274",43.9083364412654,"A"
275,"Person 275",72.6564680086449,"C"
276,"Person 276",53.2874991779681,"B"
277,"Person 277",35.6497628684156,"A"
278,"Person 278",80.7676593090873,"B"
279,"Person 279",54.5991653748788,"C"
280,"Person 280",99.0467793208081,"A"
281,"Person 281",2.89665498980321,"A"
282,"Person 282",11.3536667800508,"A"
283,"Person 283",55.7109698180575,"B"
284,"Person 284",71.8115817913786,"C"
285,"Person 285",66.8878208128735,"B"
286,"Person 286",37.6640046378598,"B"
287,"Person 287",65.737918297993,"C"
288,"Person 288",15.7947316847276,"A"
289,"Person 289",34.889536494622,"A"
290,"Person 290",46.4830954924691,"C"
291,"Person 291",29.0891909862403,"C"
292,"Person 292",46.1869285944849,"C"
293,"Person 293",4.33273669029586,"B"
294,"Person 294",24.1873599770479,"A"
295,"Person 295",35.068061061902,"B"
296,"Person 296",57.3571923396084,"B"
297,"Person 297",36.3635044582188,"C"
298,"Person 298",96.1341116342228,"B"
299,"Person 299",42.5710949036293,"B"
300,"Person 300",47.0037014558911,"A"
301,"Person 301",81.9971099554095,"A"
302,"Person 302",88.5221756955143,"B"
303,"Person 303",16.1209434098564,"C"
304,"Person 304",85.3460061503574,"C"
305,"Person 305",24.6850470008794,"B"
306,"Person 306",23.4124958750326,"A"
307,"Person 307",77.3184221736155,"A"
308,"Person 308",74.1960427691229,"A"
309,"Person 309",73.3325621818658,"A"
310,"Person 310",94.4016321876552,"B"
311,"Person 311",87.1082658304367,"A"
312,"Person 312",95.0392031045631,"B"
313,"Person 313",60.1335893955547,"B"
314,"Person 314",90.9622988617048,"B"
315,"Person 315",99.5370916528627,"A"
316,"Person 316",23.6154876661021,"A"
317,"Person 317",28.8275216673501,"C"
318,"Person 318",8.90768272313289,"A"
319,"Person 319",16.5752201359719,"C"
320,"Person 320",55.7850483364891,"C"
321,"Person 321",21.122616160661,"A"
322,"Person 322",1.32927627675235,"A"
323,"Person 323",5.06938850670122,"B"
324,"Person 324",42.4852984300815,"A"
325,"Person 325",84.0360918634105,"A"
326,"Person 326",50.5491358835716,"B"
327,"Person 327",38.6982698005158,"B"
328,"Person 328",1.96844980726019,"C"
329,"Person 329",65.1573753189296,"A"
330,"Person 330",87.0285744878929,"C"
331,"Person 331",48.4231899154838,"A"
332,"Person 332",87.2745509310625,"B"
333,"Person 333",24.4561336776242,"C"
334,"Person 334",41.5775829460472,"A"
335,"Person 335",80.6896374258213,"B"
336,"Person 336",40.0397978979163,"C"
337,"Person 337",18.8997487081215,"C"
338,"Person 338",17.6559389187023,"A"
339,"Person 339",12.8525526456069,"A"
340,"Person 340",54.9468360838946,"B"
341,"Person 341",13.8243106454611,"C"
342,"Person 342",57.3142468729056,"B"
343,"Person 343",6.44797771493904,"A"
344,"Person 344",47.0264702462591,"C"
345,"Person 345",94.9374539561104,"A"
346,"Person 346",72.8766135300975,"C"
347,"Person 347",32.6890203466173,"B"
348,"Person 348",56.1482269430999,"C"
349,"Person 349",62.6714931053575,"B"
350,"Person 350",72.3588725032751,"B"
351,"Person 351",99.137271219166,"C"
352,"Person 352",44.6386851712596,"B"
353,"Person 353",23.3688557203859,"A"
354,"Person 354",51.6199001923669,"C"
355,"Person 355",16.7710593242664,"C"
356,"Person 356",8.48289893241599,"C"
357,"Person 357",39.9397437945008,"A"
358,"Person 358",75.0367523762397,"A"
359,"Person 359",81.2144441560376,"A"
360,"Person 360",87.5358097713906,"B"
361,"Person 361",58.0750382540282,"A"
362,"Person 362",92.9218564871699,"C"
363,"Person 363",34.9294392613228,"A"
364,"Person 364",45.5252546013799,"A"
365,"Person 365",21.8308626208454,"B"
366,"Person 366",45.1329538684804,"C"
367,"Person 367",96.1210243799724,"C"
368,"Person 368",89.6555031791795,"A"
369,"Person 369",28.6196863306686,"A"
370,"Person 370",41.3071889523417,"A"
371,"Person 371",20.2014635198284,"A"
372,"Person 372",97.6510509499349,"A"
373,"Person 373",41.8153155883774,"B"
374,"Person 374",31.2706116752233,"B"
375,"Person 375",94.7835286443587,"B"
376,"Person 376",89.6338716873433,"A"
377,"Person 377",7.18684032536112,"A"
378,"Person 378",16.2796286640223,"A"
379,"Person 379",56.9504989485722,"A"
380,"Person 380",61.7145020533353,"A"
381,"Person 381",88.6285563965794,"C"
382,"Person 382",37.5655094448011,"B"
383,"Person 383",62.3749105655588,"B"
384,"Person 384",66.6148874440696,"B"
385,"Person 385",26.6175936940126,"B"
386,"Person 386",12.1957003925927,"B"
387,"Person 387",20.7958146031015,"A"
388,"Person 388",55.6046144722495,"C"
389,"Person 389",46.7764635158237,"C"
390,"Person 390",28.665209251456,"A"
391,"Person 391",15.1816876225639,"A"
392,"Person 392",94.7446185359731,"A"
393,"Person 393",95.7340161190368,"C"
394,"Person 394",88.9591540510301,"C"
395,"Person 395",30.8498849561438,"A"
396,"Person 396",69.3771701504011,"C"
397,"Person 397",81.6005119443871,"C"
398,"Person 398",75.1930223577656,"A"
399,"Person 399",71.8050540573895,"A"
400,"Person 400",47.8028522292152,"C"
401,"Person 401",60.8557361608837,"A"
402,"Person 402",78.6347294659354,"C"
403,"Person 403",84.1460172294173,"B"
404,"Person 404",55.3263157005422,"C"
405,"Person 405",68.3517731502652,"C"
406,"Person 406",40.4385414246935,"C"
407,"Person 407",98.2938099903986,"A"
408,"Person 408",69.2383029339835,"B"
409,"Person 409",64.8322659712285,"B"
410,"Person 410",30.96554812463,"A"
411,"Person 411",83.700545738684,"A"
412,"Person 412",85.5871554135811,"B"
413,"Person 413",56.0218407136854,"A"
414,"Person 414",8.45235518296249,"A"
415,"Person 415",4.67019580001943,"C"
416,"Person 416",29.6216863985173,"A"
417,"Person 417",85.5417846473865,"B"
418,"Person 418",96.3213890437037,"C"
419,"Person 419",46.8737104926258,"B"
420,"Person 420",75.2976875912864,"A"
421,"Person 421",46.9966918106657,"A"
422,"Person 422",31.3797000411432,"B"
423,"Person 423",48.3213235104922,"C"
424,"Person 424",61.2039899025112,"A"
425,"Person 425",43.3262376866769,"A"
426,"Person 426",38.856819081353,"B"
427,"Person 427",95.4046988359187,"A"
428,"Person 428",47.2406679545529,"A"
429,"Person 429",82.6631588137243,"B"
430,"Person 430",66.7976555363275,"C"
431,"Person 431",8.08918764046393,"A"
432,"Person 432",34.5629933071323,"C"
433,"Person 433",12.1350948049221,"B"
434,"Person 434",73.5537803459447,"C"
435,"Person 435",84.4070305156056,"A"
436,"Person 436",11.7869889996946,"C"
437,"Person 437",28.5673163610045,"A"
438,"Person 438",41.2340630770195,"A"
439,"Person 439",91.7710672067478,"C"
440,"Person 440",80.8811752561014,"B"
441,"Person 441",50.0246046266984,"B"
442,"Person 442",47.2299730610102,"C"
443,"Person 443",21.5248533191625,"A"
444,"Person 444",4.28542380360886,"C"
445,"Person 445",50.970702460967,"C"
446,"Person 446",50.6241729690228,"C"
447,"Person 447",78.4029749939218,"A"
448,"Person 448",86.5333780879155,"B"
449,"Person 449",44.4227556297556,"C"
450,"Person 450",52.7356888914946,"A"
451,"Person 451",28.4571406925097,"B"
452,"Person 452",20.0901693617925,"C"
453,"Person 453",93.0614486103877,"C"
454,"Person 454",77.1066156043671,"B"
455,"Person 455",12.6838147004601,"A"
456,"Person 456",90.121704160003,"B"
457,"Person 457",3.28006674582139,"C"
458,"Person 458",10.3276563670952,"B"
459,"Person 459",14.1753772071097,"B"
460,"Person 460",55.1510232139844,"B"
461,"Person 461",71.8548435764387,"A"
462,"Person 462",39.2214469944593,"C"
463,"Person 463",13.4731436539441,"A"
464,"Person 464",44.2365156421438,"B"
465,"Person 465",97.5129319671541,"B"
466,"Person 466",72.6962065885309,"A"
467,"Person 467",23.4390888374764,"B"
468,"Person 468",38.651344319107,"A"
469,"Person 469",84.2861866918392,"B"
470,"Person 470",98.1781462456565,"C"
471,"Person 471",7.88065035501495,"B"
472,"Person 472",91.4557786877267,"C"
473,"Person 473",19.7389921820723,"B"
474,"Person 474",28.0369745090138,"B"
475,"Person 475",43.3285808812361,"B"
476,"Person 476",79.9527553836815,"C"
477,"Person 477",20.5997436677571,"C"
478,"Person 478",74.6316998391412,"A"
479,"Person 479",4.79266775399446,"C"
480,"Person 480",71.3065802138299,"A"
481,"Person 481",72.9225475518033,"C"
482,"Person 482",43.001859838143,"A"
483,"Person 483",82.2980043871794,"A"
484,"Person 484",73.2233131558169,"A"
485,"Person 485",32.239677822683,"A"
486,"Person 486",4.86743427580222,"B"
487,"Person 487",92.2563749412075,"C"
488,"Person 488",92.1642375097144,"C"
489,"Person 489",68.5066169677302,"A"
490,"Person 490",41.1223519402556,"A"
491,"Person 491",18.715632292442,"A"
492,"Person 492",30.9187486127485,"C"
493,"Person 493",28.7039004056714,"A"
494,"Person 494",9.27346513024531,"C"
495,"Person 495",73.2744484397117,"B"
496,"Person 496",67.9262342338916,"B"
497,"Person 497",58.7385230043437,"B"
498,"Person 498",47.6365991914645,"B"
499,"Person 499",61.3170985288452,"A"
500,"Person 500",70.8701736654621,"C"
